NO;Tolueno;Tolueno;T4-CSF;T4-CCF;T4-F;T7;T10-R;T13;T15-R;T15-M;T20-naclo2;T21EGA;T23
NO;59.7647127;59.7647127;72.71376854;71.28989111;65.76936792;79.83548201;7.228577295;41.05570734;67.77700259;68.88823693;65.75918694;1;66.98634119
604.3373373;60.86130175;60.86130175;73.33615046;71.90151663;65.16306735;80.42488546;7.545678337;38.59105955;67.14728131;68.56904473;66.21276356;2.232944429;66.61648654
607.6746747;61.9578908;61.9578908;73.87344965;72.51314214;65.28438662;81.01432951;7.919424944;37.50347059;66.51756003;68.24985254;66.8741211;3.465830199;66.15856994
611.012012;62.04209433;62.04209433;74.38378034;73.60867132;65.40572562;81.60373295;8.424698288;39.23704595;66.10627287;68.17463076;67.57080279;4.698774628;65.51772775
614.3493493;62.21032742;62.21032742;74.5492834;74.73758137;66.57705219;82.19313639;9.025555266;40.97062131;66.31261891;68.42402035;68.35472505;5.931719057;65.23223636
617.6866867;62.54019694;62.54019694;74.71478646;75.74446917;68.70153966;82.78253983;9.689586475;43.09931229;66.51899421;68.67340994;69.16802646;7.164604828;65.5331043
621.024024;62.87006647;62.87006647;74.84549909;76.00067849;70.82602713;83.37194327;10.48437175;45.61933835;66.72534025;68.92279953;70.01183451;8.397549257;65.98615858
624.3613614;63.45764043;63.45764043;74.88533058;76.2568878;71.59009009;83.96134671;11.32410275;48.1393644;66.93168629;69.17220452;70.86399634;9.630435027;66.64122756
627.6986987;64.10349025;64.10349025;74.92516208;76.18298028;71.83953215;84.44633644;12.28434469;49.84838943;67.1380616;69.4215941;71.71989944;10.86337946;67.32850418
631.036036;64.78171345;64.78171345;74.97668505;75.48005926;72.0889742;84.87426616;12.67790413;51.17536745;67.34440764;69.67098369;72.52940833;12.09626523;68.05042654
634.3733734;65.53954529;65.53954529;75.04066868;74.77715524;71.83681075;85.30219588;12.50975732;52.50234547;67.55075368;69.92037328;73.3162006;13.32920966;68.7947765
637.7107107;66.29737713;66.29737713;75.10465232;74.3229575;71.54510809;85.73012561;11.45766748;53.92145724;67.75709971;70.16976287;73.93803145;14.56215408;69.55865885
641.048048;67.15583472;67.15583472;75.24629908;74.07343457;71.23360626;86.15805533;10.18499239;55.35592463;67.96347502;70.52867512;74.39099307;15.79503986;70.34674196
644.3853854;68.04561437;68.04561437;75.42257061;73.82392865;70.78780919;86.58598505;8.877377242;56.81099843;68.18226036;71.04920795;74.4366057;17.02798428;71.1518778
647.7227227;68.85565334;68.85565334;75.59885397;73.7755587;70.3419924;87.01391477;7.535428119;58.84106803;68.60259163;71.56975619;74.06575963;18.26087005;71.9829183
651.0600601;69.40775077;69.40775077;75.85702502;73.79320191;69.89540652;87.44188511;6.143110448;60.87113764;69.22124925;72.09028902;73.27043422;19.49381448;72.82860115
654.3973974;69.95984819;69.95984819;76.12440251;73.81086213;69.44726274;87.86981483;4.990404017;62.9384528;69.83990687;72.61082186;73.05902736;20.72670025;73.62264094
657.7347347;69.98461202;69.98461202;76.39498688;73.98173072;68.99909924;88.29774455;3.946926909;65.14679234;70.45856449;73.13135469;73.10100123;21.95964468;74.3936436
661.0720721;69.79363493;69.79363493;76.69255159;74.15942181;68.73382179;88.72567427;4.192662761;67.35513188;71.07722211;73.65188753;73.82095049;23.19253045;74.92977284
664.4094094;69.26235241;69.26235241;76.99011629;74.35041761;68.62812099;89.153604;4.726942945;67.90273027;71.69587973;74.17807046;74.64094004;24.42547488;75.3849743
667.7467467;67.21368902;67.21368902;77.28449779;74.61026785;68.52243991;89.58153372;5.917318571;65.81261503;72.31453735;74.70884122;75.66004923;25.65841931;75.49025522
671.0840841;65.16502564;65.16502564;77.57179104;74.87013511;68.98929825;90.00946344;7.418819489;63.72252314;72.73387348;75.23961197;76.70069629;26.89130508;75.50590883
674.4214214;62.09421554;62.09421554;77.85908428;75.14604629;69.662214;90.43739316;9.122188022;62.18938769;73.07699328;75.77038273;77.79138912;28.12424951;75.34837532
677.7587588;58.48908882;58.48908882;78.12860364;75.44972383;70.33514946;90.86532288;9.474314185;61.08730656;73.42014235;76.30115349;78.87550912;29.35713528;75.15988092
681.0960961;54.08467336;54.08467336;78.38156796;75.75340137;70.91624749;91.29329322;9.52890758;59.9852021;73.76326216;76.83192424;79.95305629;30.59007971;75.01240451
684.4334334;44.34223727;44.34223727;78.63454411;76.07026452;71.49115335;91.72122294;8.976902176;59.23165632;74.12994346;77.362695;80.92342658;31.71444713;74.8694441
687.7707708;34.59980118;34.59980118;78.85277716;76.39708069;72.0400087;92.14915266;8.401621122;58.59983537;74.53476219;77.8959752;81.84835081;32.77757501;74.94408273
691.1081081;26.21323403;26.21323403;79.05787504;76.72387985;72.43039173;92.57708239;7.803943413;57.96801442;74.93958092;78.52995651;82.29224115;33.63868278;75.03131352
694.4454454;18.71651496;18.71651496;79.2629611;77.05823308;72.82075504;92.97475609;7.374579097;57.46197891;75.34437039;79.16392243;82.64653343;34.40969099;75.46304841
697.7827828;12.83140089;12.83140089;79.41745902;77.39478109;73.17879677;93.35748454;7.068025997;56.96756513;75.74918912;79.79790374;82.6807429;34.92705955;75.90939796
701.1201201;26.18851255;26.18851255;79.56831223;77.7313291;73.47473929;93.740213;7.439780688;56.4780054;76.15400785;80.43188505;82.8584656;35.35708551;76.59433347
